Common-Name	Pathway	Pathway_parent_1	Pathway_parent_2	Pathway_parent_3	Pathway_parent_4	Pathway_parent_5	Pathway_parent_6	Pathway_parent_7
(5Z)-dodecenoate biosynthesis I	PWY0-862	5Z-Dodec-5-enoate-Biosynthesis	Unsaturated-Fatty-Acids-Biosynthesis	Fatty-acid-biosynthesis	Lipid-Biosynthesis	Biosynthesis	Pathways	Generalized-Reactions
(<i>S</i>)-propane-1,2-diol degradation	PWY-7013	Alcohol-Degradation // Fermentation-to-propanoate	Degradation // Fermentation-to-Acids	Pathways // Fermentation	Generalized-Reactions // Energy-Metabolism	FRAMES // Pathways	THINGS // Generalized-Reactions	 // FRAMES
1,4-dihydroxy-6-naphthoate biosynthesis I	PWY-7374	14-Dihydroxy-6-Naphthoate-Biosynthesis	Quinone-Biosynthesis	Electron-Carrier-Biosynthesis	Carriers-Biosynthesis	Cofactor-Biosynthesis	Biosynthesis	Pathways
1,4-dihydroxy-6-naphthoate biosynthesis II	PWY-7371	14-Dihydroxy-6-Naphthoate-Biosynthesis	Quinone-Biosynthesis	Electron-Carrier-Biosynthesis	Carriers-Biosynthesis	Cofactor-Biosynthesis	Biosynthesis	Pathways
1,5-anhydrofructose degradation	PWY-6992	Sugars-And-Polysaccharides-Degradation	Carbohydrates-Degradation	Degradation	Pathways	Generalized-Reactions	FRAMES	THINGS
2-amino-3-carboxymuconate semialdehyde degradation to 2-hydroxypentadienoate	PWY-5654	CARBOXYLATES-DEG	Degradation	Pathways	Generalized-Reactions	FRAMES	THINGS	
2-aminophenol degradation	PWY-6210	AROMATIC-COMPOUNDS-DEGRADATION	Degradation	Pathways	Generalized-Reactions	FRAMES	THINGS	
2-carboxy-1,4-naphthoquinol biosynthesis	PWY-5837	DHNA-Biosynthesis	Quinone-Biosynthesis	Electron-Carrier-Biosynthesis	Carriers-Biosynthesis	Cofactor-Biosynthesis	Biosynthesis	Pathways
2-methylcitrate cycle I	PWY0-42	Methyl-Citrate-Cycle	Propionate-Degradation	CARBOXYLATES-DEG	Degradation	Pathways	Generalized-Reactions	FRAMES
2-methylcitrate cycle II	PWY-5747	Methyl-Citrate-Cycle	Propionate-Degradation	CARBOXYLATES-DEG	Degradation	Pathways	Generalized-Reactions	FRAMES
2-nitrobenzoate degradation I	PWY-5647	2-Nirobenzoate-Degradation // Super-Pathways	Nitrobenzoate-Degradation // Pathways	Nitroaromatic-Degradation // Generalized-Reactions	AROMATIC-COMPOUNDS-DEGRADATION // FRAMES	Degradation // THINGS	Pathways // 	Generalized-Reactions // 
3,8-divinyl-chlorophyllide <i>a</i> biosynthesis I (aerobic, light-dependent)	CHLOROPHYLL-SYN	Chlorophyllide-a-Biosynthesis	Chlorophyll-Biosynthesis	Pigment-Biosynthesis // Porphyrin-Compounds-Biosynthesis	SECONDARY-METABOLITE-BIOSYNTHESIS // Tetrapyrrole-Biosynthesis	Biosynthesis	Pathways	Generalized-Reactions
3,8-divinyl-chlorophyllide <i>a</i> biosynthesis II (anaerobic)	PWY-5531	Chlorophyllide-a-Biosynthesis	Chlorophyll-Biosynthesis	Pigment-Biosynthesis // Porphyrin-Compounds-Biosynthesis	SECONDARY-METABOLITE-BIOSYNTHESIS // Tetrapyrrole-Biosynthesis	Biosynthesis	Pathways	Generalized-Reactions
3,8-divinyl-chlorophyllide <i>a</i> biosynthesis III (aerobic, light independent)	PWY-7159	Chlorophyllide-a-Biosynthesis	Chlorophyll-Biosynthesis	Pigment-Biosynthesis // Porphyrin-Compounds-Biosynthesis	SECONDARY-METABOLITE-BIOSYNTHESIS // Tetrapyrrole-Biosynthesis	Biosynthesis	Pathways	Generalized-Reactions
3-phenylpropanoate and 3-(3-hydroxyphenyl)propanoate degradation	PWY0-1277	AROMATIC-COMPOUNDS-DEGRADATION // Super-Pathways	Degradation // Pathways	Pathways // Generalized-Reactions	Generalized-Reactions // FRAMES	FRAMES // THINGS	THINGS // 	
3-phenylpropanoate and 3-(3-hydroxyphenyl)propanoate degradation to 2-hydroxypentadienoate	HCAMHPDEG-PWY	Phenolic-Compounds-Degradation	AROMATIC-COMPOUNDS-DEGRADATION	Degradation	Pathways	Generalized-Reactions	FRAMES	THINGS
3-phenylpropanoate degradation	P281-PWY	Phenolic-Compounds-Degradation // Super-Pathways	AROMATIC-COMPOUNDS-DEGRADATION // Pathways	Degradation // Generalized-Reactions	Pathways // FRAMES	Generalized-Reactions // THINGS	FRAMES // 	THINGS // 
4-aminobutanoate degradation V	PWY-5022	4-Aminobutyraye-Degradation // Acetyl-CoA-Butyrate	AMINE-DEG // Fermentation-to-Acids	Degradation // Fermentation	Pathways // Energy-Metabolism	Generalized-Reactions // Pathways	FRAMES // Generalized-Reactions	THINGS // FRAMES
4-coumarate degradation (anaerobic)	PWY-7046	PHENYLPROPANOID-DERIVATIVE-DEG	Phenolic-Compounds-Degradation	AROMATIC-COMPOUNDS-DEGRADATION	Degradation	Pathways	Generalized-Reactions	FRAMES
